category1,category2,category3,category4,service,issue,agree,disagree,noidea,expSol
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,건축물 공공성 강화,건축물 내진성능 자가점검시스템 운영,공공 안전,2,1,2,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,건축물 공공성 강화,전문가 안전점검 수당,공공 안전,6,0,1,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,도시건축문화 구현(일반),"천년의 도시, 100개의 얼굴 공모전",공공 안전,3,1,3,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,건축물 공공성 강화,녹색건축 인증 건축물의 실태 및 거주자 만족도 조사를 통한 인증후 관리방안연구,공공 안전,1,2,1,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,도시건축문화 구현(일반),한강건축상상전,공공 안전,2,0,1,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,도시건축문화 구현(일반),집합건축물 실태조사,공공 안전,0,1,2,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,도시건축문화 구현(일반),리모델링활성화구역 건축디자인설계비 지원,공공 안전,0,4,1,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,도시건축문화 구현(일반),서울건축문화투어맵 외국어판 제작,공공 안전,1,1,1,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,도시건축문화 구현(일반),항공사진 촬영 및 판독,공공 안전,0,1,2,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,도시건축문화 구현(일반),2017 서울 세계건축대회,공공 안전,2,3,2,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,도시건축문화 구현(일반),2015 서울 건축문화제,공공 안전,4,7,1,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,도시건축문화 구현(일반),건축위원회 등 운영,공공 안전,0,2,2,0
사회복지,주택,일반예산(재무활동),내부거래지출(주택정책실 주택정책과),재정투융자기금 예수금 상환,공공 안전,0,1,2,0
사회복지,주택,일반예산(재무활동),보전지출,지방채상환,공공 안전,0,2,2,0
사회복지,주택,일반예산(재무활동),내부거래지출(주택정책과),사회복지기금(주거지원계정),공공 안전,1,1,1,0
사회복지,주택,일반예산(재무활동),내부거래지출(주택정책실 주택정책과),재정투융자기금 예수금 이자 상환,공공 안전,0,0,2,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(국민),국토부「제로에너지주택 실증단지」구축 R&D 사업,공공 안전,1,1,3,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(국민),SH공사 미매각토지를 활용한 공공임대주택건설,공공 안전,1,0,1,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(국민),공공원룸주택 매입·건설 공급,공공 안전,1,1,2,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(국민),공공임대주택건설 지원(추가 2만호),공공 안전,0,1,2,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(국민),역세권 장기전세주택 매입,공공 안전,0,1,1,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(국민),시유지활용 공공주택 추가공급,공공 안전,0,1,2,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(일반),서울공공주택 공급 기본계획 수립,공공 안전,0,3,3,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(국민),공공임대주택건설 지원(민선5기),공공 안전,1,1,1,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(일반),민간임대주택 공급 활성화,공공 안전,1,2,2,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(일반),공공주택통합심의위원회 운영,공공 안전,0,3,3,0
기타,기타,행정운영경비(주택건축국 건축기획과),기본경비,기본경비,공공 안전,1,3,1,0
사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(일반),장기안심주택 공급 활성화,공공 안전,0,0,2,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,건축물 공공성 강화,방범우수 건물 등 인증제,공공 안전,1,0,2,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,건축물 공공성 강화,건축물 재난 및 안전관리 기본방향 연구 학술용역,공공 안전,3,0,2,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,건축물 공공성 강화,재난취약시설 정밀안전진단 등 지원사업,공공 안전,0,0,1,0
국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,건축물 공공성 강화,에너지소비총량 평가 시스템 유지관리,공공 안전,3,2,2,0
국토및지역개발,지역및도시,도시경제기반형 활성화계획 추진,창동·상계 신경제중심지 조성,창동 복합문화공연시설 조성 타당성 분석,공공 안전,2,1,1,0
국토및지역개발,지역및도시,도시경제기반형 활성화계획 추진,창동·상계 신경제중심지 조성,행복4구 도시재생협력지원센터,공공 안전,1,2,3,0
국토및지역개발,지역및도시,도시재생 및 공공개발,국제교류복합 공간 육성,코엑스~잠실운동장 일대 도시관리계획 수립 용역,공공 안전,1,4,2,0
국토및지역개발,지역및도시,도시재생 및 공공개발,국제교류복합 공간 육성,동남권 국제교류복합지구 조성계획 수립,공공 안전,0,2,2,0
기타,기타,행정운영경비(도시재생본부 주거환경개선과),기본경비,기본경비,공공 안전,2,1,2,0
국토및지역개발,지역및도시,도시재생 및 공공개발,국제교류복합 공간 육성,영동권역 발전계획 실현방안 및 도시관리계획 수립 용역,공공 안전,1,1,2,0
국토및지역개발,지역및도시,평생 살고 싶은 마을만들기 추진,주거지 재생사업 추진(국민),공공임대주택(두레주택) 매입·건설 공급,공공 안전,1,4,2,0
국토및지역개발,지역및도시,평생 살고 싶은 마을만들기 추진,주거지재생사업추진,뉴타운·재개발·재건축 해제지역 노후 저층주거지 주택개량 및 신축비용 이자 등 지원,공공 안전,2,0,2,0
국토및지역개발,지역및도시,평생 살고 싶은 마을만들기 추진,주거지 재생사업 추진(재촉),주민참여형 재생사업 주택개량 융자(재촉),공공 안전,0,2,3,0
국토및지역개발,지역및도시,평생 살고 싶은 마을만들기 추진,주거지 재생사업 추진(재촉),주민참여형 주거지 재생사업(재촉),공공 안전,0,2,2,0
국토및지역개발,지역및도시,평생 살고 싶은 마을만들기 추진,주거지 재생사업 추진(도정),성곽마을 보전·관리사업,공공 안전,2,1,2,0
국토및지역개발,지역및도시,평생 살고 싶은 마을만들기 추진,주거지 재생사업 추진(재촉),주민참여형 주거지 재생사업계획 수립(재촉),공공 안전,1,0,1,0
국토및지역개발,지역및도시,평생 살고 싶은 마을만들기 추진,주거지 재생사업 추진(도정),주거환경관리사업 활성화,공공 안전,3,0,3,0
국토및지역개발,지역및도시,평생 살고 싶은 마을만들기 추진,주거지 재생사업 추진(도정),주민참여형 주거지 재생사업(도정),공공 안전,0,0,1,0
국토및지역개발,지역및도시,평생 살고 싶은 마을만들기 추진,주거지 재생사업 추진(도정),주민참여형 주거지 재생사업계획 수립(도정),공공 안전,2,2,2,0
수송및교통,도로,도시기반시설관리,도시기반시설관리,시설공사 품질향상 유지관리 수준향상,공공 안전,2,0,3,1
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,서남권 일대 균형 발전 방안 수립,공공 안전,0,1,2,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,신내 IC 주변지역 발전 방안 수립,공공 안전,1,1,2,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,중심지체계 실현성 강화를 위한 용도지역 관리 개선방안 연구,공공 안전,2,3,2,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,서울특별시 용도지역별 허용용도 정비방안 연구,공공 안전,1,1,2,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,도시계획정보시스템(UPIS) 및 도시계획포털 유지보수,공공 안전,0,2,0,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,3차원 의사결정지원시스템 기능개선,공공 안전,1,0,2,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,한강변 관리기본계획 수립,공공 안전,1,1,2,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,도시기본계획 상시 모니터링체계 구축 및 운영,공공 안전,0,0,2,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,2015 도시정책 컨퍼런스 운영,공공 안전,6,4,4,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,권역별 생활권계획 수립,공공 안전,2,1,2,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,도시계획위원회 운영,공공 안전,1,1,4,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,도시계획 정책자문단 운영,공공 안전,0,2,3,0
국토및지역개발,지역및도시,도시경제기반형 활성화계획 추진,도시재생 계획수립(도시개발),동북권역 등 도시재생 추진,공공 안전,3,1,3,0
국토및지역개발,지역및도시,도시경제기반형 활성화계획 추진,도시재생 계획수립(도시개발),창동·상계 경제기반형 도시재생 활성화계획 수립,공공 안전,0,1,2,0
국토및지역개발,지역및도시,도시경제기반형 활성화계획 추진,창동·상계 신경제중심지 조성,창동 창업지원시설 조성 기본계획 수립,공공 안전,2,1,2,0
국토및지역개발,지역및도시,도시경제기반형 활성화계획 추진,창동·상계 신경제중심지 조성,창동 복합문화공연시설 조성 기본계획 수립,공공 안전,1,0,1,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,국제도시 조명연맹 정책교류사업,공공 안전,2,1,3,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,광고물관리 및 디자인심의위원회 운영,공공 안전,1,3,2,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,에너지절약형 LED 간판 교체,공공 안전,0,1,3,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,서울시 좋은간판 발굴 · 확산,공공 안전,1,2,2,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,서울경관 기록화사업(5차),공공 안전,1,2,1,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,한양도성 경관조명 유지관리 및 시설개선,공공 안전,1,1,2,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,봉천지구 지구단위계획 재정비,공공 안전,3,2,3,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,서울특별시 경관계획 재정비 학술연구 용역,공공 안전,0,2,2,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,도시·건축 공동위원회 운영,공공 안전,5,1,2,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,서부이촌동 공동체 활성화 지원,공공 안전,2,0,1,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시재생 계획수립,준공업지역 재생과 활성화 방안 연구,공공 안전,1,1,2,0
기타,기타,행정운영경비(도시계획국 도시계획과),기본경비,기본경비,공공 안전,2,3,2,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,"서울시 R&D 지구(양재,우면) 육성 종합 계획 수립",공공 안전,1,1,2,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시재생 계획수립,용산공원 주변지역 관리기본계획 수립,공공 안전,1,1,2,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,고도제한 완화를 통한 마곡지구 발전 방안,공공 안전,2,3,2,0
국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구,수서·문정지역 중심 육성을 위한 종합 관리 방안 수립,공공 안전,0,1,2,0
국토및지역개발,지역및도시,도시 발전기반 제고,도시계획 시설정비,도시생태현황도 재정비 용역,공공 안전,1,2,2,0
국토및지역개발,지역및도시,도시 발전기반 제고,도시계획 시설정비,생태도시포럼운영,공공 안전,2,2,2,0
기타,기타,행정운영경비(도시계획국 도시관리과),기본경비,기본경비,공공 안전,0,2,1,0
국토및지역개발,지역및도시,도시 발전기반 제고,도시계획 시설정비,비오톱 평가등급 관리,공공 안전,0,4,1,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,환경개선 및 도시개발 관련사업,용산지구단위계획(서부이촌동 일대) 재정비 용역(도시개발),공공 안전,0,3,2,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,환경개선 및 도시개발 관련사업,지구단위계획구역내 공공시설 순환투자방식 사업(도시개발),공공 안전,2,2,2,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,환경개선 및 도시개발 관련사업,캠퍼스타운 조성을 위한 환경정비형 지구단위계획(도시개발),공공 안전,1,4,2,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,환경개선 및 도시개발 관련사업,지구단위계획 수립 및 재정비 용역비(자치구 예산지원),공공 안전,1,3,1,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,뚝섬주변지역 지구단위계획 재정비,공공 안전,1,2,3,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,석촌동고분 경관조명 2차 사업,공공 안전,2,1,2,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,정릉 솔샘로 경관개선(주민참여),공공 안전,2,1,2,0
일반공공행정,일반행정,공정한 보도체계 확립,보도기획 기능 강화,시정보도 간행물 구독 및 대화채널 구축,공공 안전,1,0,2,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,서울시 빛환경 관리계획 수립,공공 안전,1,3,2,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,관광활성화를 위한 야간경관 개발계획,공공 안전,0,3,1,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,소외·낙후지역 도시경관개선,공공 안전,1,1,1,0
국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등,시민안전을 위한 주택가 빛환경 개선,공공 안전,2,0,2,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,역사도심활성화,조선광문회 옛건물 복원 추진계획 및 건물복원을 위한 공원조성 설계 변경계획,공공 안전,0,1,2,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,도심상가 활성화,세운상가군 활성화 방안 수립 용역(주택사업),공공 안전,1,2,2,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,역사도심활성화,낙원상가 하부 입체적 공공 공간 정비,공공 안전,1,3,0,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,역사도심활성화,옛길 역사특성 보전 기본계획 수립,공공 안전,1,4,0,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,역사도심활성화,회현동일대 지구단위계획 수립,공공 안전,2,3,2,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,역사도심활성화,도심부 산업활력 시범 재생사업,공공 안전,0,2,3,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,역사도심활성화,을지한빛거리 운영,공공 안전,0,1,2,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,역사도심활성화,옛길 영상 기록화 사업,공공 안전,0,1,2,0
국토및지역개발,지역및도시,재무활동(도시재생본부 도시활성화과),내부거래지출,도시개발특별회계 법정전출금,공공 안전,0,1,2,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,역사도심활성화,광화문광장 관리 운영,공공 안전,1,1,2,0
기타,기타,행정운영경비(도시재생본부 도시활성화과),기본경비(도시개발),기본경비(도시개발),공공 안전,0,3,2,0
국토및지역개발,지역및도시,일반예산(타기관지원등),자치구교부금(도시개발),교부금(도시개발),공공 안전,1,2,1,0
국토및지역개발,지역및도시,도시기능 회복 및 활성화,도시환경정비,장안평일대 지역산업발전계획수립(도시개발),공공 안전,0,2,1,0
기타,기타,행정운영경비(도시재생본부 도시활성화과),기본경비,기본경비,공공 안전,1,2,6,0
국토및지역개발,지역및도시,도시기능 회복 및 활성화,도시환경정비 및 체비지 관리 등(도시개발),체비지 관리 소요경비(도시개발),공공 안전,2,1,2,0
국토및지역개발,지역및도시,도시기능 회복 및 활성화,도시환경정비 및 체비지 관리 등(도시개발),체비지 관리 및 합리적인 방안연구 용역(도시개발),공공 안전,1,3,3,0
사회복지,주택,사람 중심의 주택정비사업 추진,정비사업 지원(도정),창조적 정비계획수립 공공건축가 지원,공공 안전,1,1,2,0
사회복지,주택,사람 중심의 주택정비사업 추진,정비사업 지원(도정),일반정비사업 추진위원회 사용비용 보조,공공 안전,2,3,3,0
사회복지,주택,사람 중심의 주택정비사업 추진,도시 및 주거환경정비사업 지원(도정),백사마을 주거지보전구역 건축설계(실시설계)용역,공공 안전,1,1,1,0
사회복지,주택,사람 중심의 주택정비사업 추진,정비사업 지원(도정),공공정비계획수립,공공 안전,3,2,2,0
사회복지,주택,사람 중심의 주택정비사업 추진,도시 및 주거환경정비사업 지원(도정),건축도시재생 박물관 건립,공공 안전,0,4,2,0
사회복지,주택,사람 중심의 주택정비사업 추진,도시 및 주거환경정비사업 지원(도정),해방촌 도시재생사업 추진,공공 안전,1,0,3,0
사회복지,주택,사람 중심의 주택정비사업 추진,도시 및 주거환경정비사업 지원(도정),창신숭인 도시재생선도사업 추진,공공 안전,0,2,3,0
사회복지,주택,사람 중심의 주택정비사업 추진,도시 및 주거환경정비사업 지원(도정),홍은2-2 주거환경개선사업,공공 안전,3,1,2,0
기타,기타,행정운영경비(도시재생본부 역사도심재생과),기본경비,기본경비,공공 안전,1,3,1,0
사회복지,주택,사람 중심의 주택정비사업 추진,도시 및 주거환경정비사업 지원(도정),주거환경개선사업 관리,공공 안전,1,2,2,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,도심 역사문화자원 관리,"혜화, 명륜동일대 지구단위계획 수립(도시개발)",공공 안전,3,1,2,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,도심 역사문화자원 관리,익선구역 지구단위계획 수립,공공 안전,1,2,1,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,도심 역사문화자원 관리,이대 동대문병원 및 교회 공원화(도시개발),공공 안전,0,1,2,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,도심 역사문화자원 관리,정동일대 지구단위계획 수립(도시개발),공공 안전,0,2,4,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,도심상가 활성화,낙원상가·돈화문로 주변지역 전략정비계획 수립,공공 안전,1,1,3,0
국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,도심상가 활성화,"도심산업 활력촉매제, 세운상가군 재생사업",공공 안전,1,3,1,0
사회복지,주택,사람 중심의 주택정비사업 추진,공공관리제도의 안정적 정착(도정),공공관리 성과분석 및 개선방안 마련 용역,공공 안전,3,4,1,0
사회복지,주택,사람 중심의 주택정비사업 추진,공공관리제도의 안정적 정착(도정),정비사업의 관리 시행 전문화 방안 마련 용역,공공 안전,1,2,2,0
사회복지,주택,사람 중심의 주택정비사업 추진,공공관리제도의 안정적 정착(도정),정비사업 조합(추진위)운영 실태점검 및 활성화지원 등,공공 안전,3,2,2,0
사회복지,주택,사람 중심의 주택정비사업 추진,공공관리제도의 안정적 정착(도정),정비사업 분석진단을 통한 코디네이터 제도 실시,공공 안전,3,2,2,0
사회복지,주택,사람 중심의 주택정비사업 추진,공공관리제도의 안정적 정착(도정),공공관리제도 개선을 위한 자문 및 토론회,공공 안전,1,2,3,0
사회복지,주택,사람 중심의 주택정비사업 추진,공공관리제도의 안정적 정착(도정),클린업시스템 운영 및 모니터링,공공 안전,2,2,2,0
사회복지,주택,사람 중심의 주택정비사업 추진,공공관리제도의 안정적 정착(도정),주택 정비사업 융자금 지원,공공 안전,0,1,3,0
사회복지,주택,사람 중심의 주택정비사업 추진,공공관리제도의 안정적 정착(도정),공공관리사업 지원,공공 안전,5,0,2,0
기타,기타,행정운영경비(도시재생본부 주거재생과),기본경비,기본경비(도정),공공 안전,0,1,2,0
기타,기타,행정운영경비(도시재생본부 주거재생과),인력운영비(주택사업특별회계),인력운영비,공공 안전,0,2,1,0
사회복지,주택,일반예산(재무활동),보전지출(도시재생본부 주거재생과),반환금및기타,공공 안전,0,1,1,0
사회복지,주택,일반예산(재무활동),내부거래지출(도시재생본부 주거재생과),주택사업특별회계 법정전출금,공공 안전,0,3,2,0
사회복지,주택,일반예산(예비비-도시주거환경정비계정),예비비(도시재생본부 주거재생과),예비비(도정),공공 안전,0,3,2,0
사회복지,주택,일반예산(재무활동),내부거래지출(도시재생본부 주거재생과),기타회계 전출금,공공 안전,0,5,4,0
사회복지,주택,사람 중심의 주택정비사업 추진,정비사업 지원(도정),서울형 도시재생 시범사업 지원,공공 안전,3,1,3,0
사회복지,주택,사람 중심의 주택정비사업 추진,정비사업 갈등관리 강화(재촉),주거재생지원센터 운영,공공 안전,0,4,2,0
국토및지역개발,지역및도시,일반예산(재무활동),보전지출,국고보조금 반환금,공공 안전,0,3,1,0
예비비,예비비,일반예산(예비비-재정비촉진사업계정),예비비(도시재생본부 주거사업과),예비비(재촉),공공 안전,0,3,1,0
국토및지역개발,지역및도시,일반예산(재무활동),내부거래지출,주택사업특별회계 법정전출금,공공 안전,3,2,2,0
국토및지역개발,지역및도시,일반예산(재무활동),내부거래지출(도시재생본부 주거사업과),기타회계 전출금,공공 안전,0,3,1,0
기타,기타,행정운영경비(주택정책실 재정비과),기본경비,기본경비,공공 안전,2,1,2,0
기타,기타,행정운영경비(주택정책실 재정비과),기본경비,기본경비(재촉),공공 안전,0,0,2,0
